T I M E   A N D   N O D A L   P O S I T I O N   D A T A 

       TIME       NODE NUMBER             POSITION
                                   X          Y          Z
       0.000           1           0.000    10.000     0.000
       0.000           2          10.000    10.000     0.000
       0.000           3          20.000    10.000     0.000
       0.000           4          30.000    10.000     0.000
       0.000           5          30.000     0.000     0.000
       0.000           6          20.000     0.000     0.000
       0.000           7          10.000     0.000     0.000
       0.000           8           0.000     0.000     0.000
       0.010           1           0.000    10.000     0.000
       0.010           2          10.000    10.000     0.000
       0.010           3          20.000    10.000     0.000
       0.010           4          30.000    10.000     0.000
       0.010           5          30.000     0.000     0.000
       0.010           6          20.000     0.000     0.000
       0.010           7          10.000    -0.000     0.000
       0.010           8           0.000     0.000     0.000
       0.020           1           0.000    10.000     0.000
       0.020           2          10.000    10.000     0.000
       0.020           3          20.000    10.000     0.000
       0.020           4          30.000    10.000     0.000
       0.020           5          30.000     0.000     0.000
       0.020           6          20.000     0.000     0.000
       0.020           7          10.000    -0.000     0.000
       0.020           8           0.000     0.000     0.000
       0.030           1           0.000    10.000     0.000
       0.030           2          10.000    10.000     0.000
       0.030           3          20.000    10.000     0.000
       0.030           4          30.000     9.999     0.000
       0.030           5          30.000     0.000     0.000
       0.030           6          20.000     0.000     0.000
       0.030           7          10.000    -0.000     0.000
       0.030           8           0.000     0.000     0.000
       0.040           1           0.000    10.000     0.000
       0.040           2          10.000    10.000     0.000
       0.040           3          20.000    10.000     0.000
       0.040           4          30.000     9.998     0.000
       0.040           5          30.000     0.000     0.000
       0.040           6          20.000     0.000     0.000
       0.040           7          10.000    -0.000     0.000
       0.040           8           0.000     0.000     0.000
       0.050           1           0.000    10.000     0.000
       0.050           2          10.000    10.000     0.000
       0.050           3          20.000    10.000     0.000
       0.050           4          30.000     9.998     0.000
       0.050           5          30.000     0.000     0.000
       0.050           6          20.000     0.000     0.000
       0.050           7          10.000    -0.000     0.000
       0.050           8           0.000     0.000     0.000
       0.060           1           0.000    10.000     0.000
       0.060           2          10.000    10.000     0.000
       0.060           3          20.000    10.000     0.000
       0.060           4          30.000     9.996     0.000
       0.060           5          30.000     0.000     0.000
       0.060           6          20.000     0.000     0.000
       0.060           7          10.000    -0.000     0.000
       0.060           8           0.000     0.000     0.000
       0.070           1           0.000    10.000     0.000
       0.070           2          10.000    10.000     0.000
       0.070           3          20.000    10.000     0.000
       0.070           4          30.000     9.995     0.000
       0.070           5          30.000     0.000     0.000
       0.070           6          20.000     0.000     0.000
       0.070           7          10.000    -0.000     0.000
       0.070           8           0.000     0.000     0.000
       0.080           1           0.000    10.000     0.000
       0.080           2          10.000    10.000     0.000
       0.080           3          20.000    10.000     0.000
       0.080           4          30.000     9.994     0.000
       0.080           5          30.000     0.000     0.000
       0.080           6          20.000     0.000     0.000
       0.080           7          10.000    -0.000     0.000
       0.080           8           0.000     0.000     0.000
       0.090           1           0.000    10.000     0.000
       0.090           2          10.000    10.000     0.000
       0.090           3          20.000    10.000     0.000
       0.090           4          30.000     9.992     0.000
       0.090           5          30.000     0.000     0.000
       0.090           6          20.000     0.000     0.000
       0.090           7          10.000    -0.000     0.000
       0.090           8           0.000     0.000     0.000
       0.100           1           0.000    10.000     0.000
       0.100           2          10.000    10.000     0.000
       0.100           3          20.000    10.000     0.000
       0.100           4          30.000     9.990     0.000
       0.100           5          30.000     0.000     0.000
       0.100           6          20.000     0.000     0.000
       0.100           7          10.000    -0.000     0.000
       0.100           8           0.000     0.000     0.000
       0.110           1           0.000    10.000     0.000
       0.110           2          10.000    10.000     0.000
       0.110           3          20.000    10.000     0.000
       0.110           4          30.000     9.988     0.000
       0.110           5          30.000     0.000     0.000
       0.110           6          20.000     0.000     0.000
       0.110           7          10.000    -0.000     0.000
       0.110           8           0.000     0.000     0.000
       0.120           1           0.000    10.000     0.000
       0.120           2          10.000    10.000     0.000
       0.120           3          20.000    10.000     0.000
       0.120           4          30.000     9.986     0.000
       0.120           5          30.000     0.000     0.000
       0.120           6          20.000     0.000     0.000
       0.120           7          10.000    -0.000     0.000
       0.120           8           0.000     0.000     0.000
       0.130           1           0.000    10.000     0.000
       0.130           2          10.000    10.000     0.000
       0.130           3          20.000    10.000     0.000
       0.130           4          30.000     9.983     0.000
       0.130           5          30.000     0.000     0.000
       0.130           6          20.000     0.000     0.000
       0.130           7          10.000    -0.000     0.000
       0.130           8           0.000     0.000     0.000
       0.140           1           0.000    10.000     0.000
       0.140           2          10.000    10.000     0.000
       0.140           3          20.000    10.000     0.000
       0.140           4          30.000     9.981     0.000
       0.140           5          30.000     0.000     0.000
       0.140           6          20.000     0.000     0.000
       0.140           7          10.000    -0.000     0.000
       0.140           8           0.000     0.000     0.000
       0.150           1           0.000    10.000     0.000
       0.150           2          10.000    10.000     0.000
       0.150           3          20.000    10.000     0.000
       0.150           4          30.000     9.978     0.000
